Participant,Session,Ball #,Look %,Velocity mean,Flipper dist mean,Fixations mean,Fixations per second,Saccades mean,Saccades per second,Pursuits mean,Pursuits per second
11,Norm,Multiball,0.9938521909744932,27.949717514124295,26.378279118572927,125.53691639522259,3.5474166121648136,42.065625,7.306736429038587,0.24737577639751554,2.817527795945062
11,High,Multiball,0.993587002992732,24.340087623220153,20.29669762641899,139.10310880829016,3.8221462163317654,33.79122055674518,6.515604959384352,0.22353255340793488,2.667806755023514
12,Norm,Single ball,0.9410950149126545,38.556478405315616,37.25212765957447,120.91597510373444,3.1348530038346825,41.71459227467811,9.043459735832979,0.26764091858037575,2.0227950575202387
12,High,Single ball,0.8651256732495511,38.607142857142854,38.69956850053937,120.22239747634069,2.945466786355476,39.331236897274636,9.519748653500898,0.24687244897959185,1.6494614003590664
12,Norm,Multiball,0.9729814149617367,38.90418502202643,24.64873417721519,119.04074889867842,3.2141183820084334,38.48585418933624,9.717320006247071,0.29085560123329907,2.23957519912541
12,High,Multiball,0.9831068207798807,36.90898876404494,23.805263157894736,120.04791666666667,3.277022735932935,38.94654088050314,9.556712815953258,0.2619969199178645,2.0957703543757145
13,Norm,Single ball,0.9566938300349244,32.33726150392817,38.293836344314556,122.6728525980912,3.4924330616996504,37.393459915611814,8.507566938300348,0.27834112149532714,2.251920838183935
13,High,Single ball,0.9091673675357443,34.502234636871506,34.533970276008496,117.23980154355017,3.437061956826465,36.51083423618635,8.755256518082422,0.28450104493207945,1.984861227922624
13,Norm,Multiball,1.0,29.826797385620914,20.556759545923633,119.17625899280576,3.885647607934656,32.92424242424242,8.646441073512252,0.2973478701825558,2.6254375729288215
13,High,Multiball,0.9473825503355705,36.465669988925804,25.146137787056368,117.56086044071354,3.4953020134228185,39.63038906414301,9.358389261744966,0.24910184237461622,2.561073825503356
14,Norm,Single ball,0.8439566395663957,30.017857142857142,51.707343412526996,120.9543630892678,3.456910569105691,34.0058949624866,8.80650406504065,0.2633959835221421,2.1528455284552845
14,High,Single ball,0.882786336235767,30.539106145251395,45.615177610333696,119.3030303030303,3.3326954358434597,31.32116402116402,9.690938666156349,0.25842323651452287,2.307913118361879
14,Norm,Multiball,0.9846446097831248,32.89649507119387,34.03870625662778,114.76808510638298,3.57131549786291,36.34458077709611,9.194237771093874,0.2362116564417178,2.934937470318189
14,High,Multiball,0.9426229508196722,29.250819672131147,41.561181434599156,119.67245005257624,3.4426229508196724,32.69146722164412,9.295081967213115,0.28105087358684483,2.3114754098360657
15,Norm,Single ball,0.8535788107484498,66.17630700778643,41.222878625134264,107.26345177664975,1.4420996971590636,46.74025974025974,11.095515069941836,0.2478913491246138,1.9122241984329185
15,High,Single ball,0.9195219123505977,56.35303867403315,44.164155005382135,107.0456475583864,2.1155378486055776,44.05334728033473,10.798804780876493,0.20233690112130484,0.9382470119521912
15,Norm,Multiball,0.944,73.29051819184123,29.84002111932418,113.23538461538462,1.1815384615384616,50.8378947368421,11.249230769230769,0.24025950668036997,2.596923076923077
15,High,Multiball,0.9516714422158549,75.6657458563536,27.062765957446807,95.35452695829095,0.9856733524355301,52.34764826175869,11.713467048710601,0.16631511746680286,1.9598853868194843
16,Norm,Single ball,0.9076855123674912,31.611361079865016,36.200107874865154,109.349598163031,3.1772673733804475,37.27608695652174,9.337455830388691,0.26321205821205823,2.1054181389870434
16,High,Single ball,0.9026087880558951,43.55450500556174,30.769925611052074,118.51781970649895,2.8531958981988206,40.44438614900315,9.617979916051219,0.2724948347107438,2.0115828064396153
16,Norm,Multiball,0.9952012796587577,34.325799338478504,25.543386243386244,109.20703933747411,3.0711810183950945,40.64451476793249,10.029325513196481,0.2726504149377594,2.3353772327379367
16,High,Multiball,0.9897834082550061,42.75692137320044,26.057872784150156,111.11884368308351,3.175316714344095,41.29875518672199,10.089906007355946,0.20461967545638948,3.0281977932161834
17,Norm,Single ball,0.9407238028230949,27.397321428571427,41.38266953713671,116.01310043668123,3.7913900004397347,35.562899786780385,8.131568532606305,0.25911122661122665,2.2241765973352097
17,High,Single ball,0.9535097035821184,27.40909090909091,47.2831715210356,114.33133841131665,3.249975861736024,32.02431289640592,9.567442309549097,0.23932572614107886,2.0855460075311383
17,Norm,Multiball,1.0,28.650055991041434,34.420668058455114,125.18071654373024,4.02555910543131,40.56625258799172,7.580598315422597,0.24976006191950462,2.561719430729015
17,High,Multiball,0.9901722882795438,29.96035242290749,34.20811380400421,115.32815734989649,3.4506187818490655,33.02570828961175,10.140742538218879,0.2557076446280992,2.5843241931570007
18,Norm,Single ball,0.6512593412676446,26.975717439293597,68.32683982683983,127.68380062305296,3.361195682258511,34.29101358411703,8.226958206476613,0.2605587023686921,1.228895654580681
18,High,Single ball,0.7511733985588682,29.22160356347439,56.3051948051948,128.04910242872228,3.264361737290937,40.27089783281734,7.913003239241092,0.2801560900716479,1.2057909697891187
18,Norm,Multiball,0.9572109988776656,29.78996692392503,38.607296137339056,119.12065331928346,3.61952861952862,34.34391259105099,9.124579124579125,0.26046335078534033,2.281144781144781
18,High,Multiball,0.9507809423808898,29.842633928571427,33.73585912486659,123.01991614255765,3.6422102638141487,36.65271966527197,8.46567791048694,0.24120582120582124,2.3625147657172856
19,Norm,Single ball,0.7758528212829865,30.86859688195991,51.08702702702703,125.57297019527235,3.388757777301008,35.693074501573975,8.415576056640205,0.2566090146750524,1.78609740399056
19,High,Single ball,0.7568265444451617,28.178290213723283,53.95922746781116,127.7778947368421,3.1915305661351754,36.69581151832461,7.548899360919243,0.26490454076367387,1.5957652830675877
19,Norm,Multiball,0.9604289940828402,29.10488346281909,33.20550847457627,119.32226762002043,3.7832840236686396,32.93558282208589,9.241863905325445,0.24051530612244895,2.6627218934911245
19,High,Multiball,0.9680024379094926,31.998338870431894,34.95338983050848,119.74579831932773,3.588298034435472,36.332644628099175,8.99588602773122,0.24509105098855358,2.5552338869419473
20,Norm,Single ball,0.8386545711592837,25.167403314917127,52.162689804772235,123.21855010660981,3.067860508953817,31.21474358974359,8.221017907634307,0.24563674321503132,1.9227144203581528
20,High,Single ball,0.9061220776858001,25.670731707317074,49.38304721030043,124.98710010319917,2.9091239879923587,32.443808532778355,8.099699808969344,0.2442082035306335,1.8939325025015918
20,Norm,Multiball,0.9432767324460761,26.371651785714285,34.88559322033898,120.78025477707007,3.695273061037173,31.489395546129373,8.739788893988068,0.21735200845665964,2.7976135842129417
20,High,Multiball,0.8801752007508603,29.307134894091416,36.610871905274486,123.1231884057971,3.1598706851600795,32.14270833333333,9.517155073521744,0.2690005192107996,2.0867660861403694
